'question','option1','option2','option3','option4',answer
'What is the capital of France?','Paris','London','Berlin','Madrid',1
'Which of these is not a programming language?','C','Python','Java','Word',4
'Which is the largest planet in our solar system?','Jupiter','Mars','Saturn','Earth',1
'Who is the creator of the Python programming language?','Guido_van_Rossum','James_Gosling','Linus_Torvalds','modi',1 
'The language of Lakshadweep. a Union Territory of India is?','Tamil','Hindi','Malayalam','Telugu',3
'In which group of places the Kumbha Mela is held every twelve years?','Ujjain. Purl; Prayag. Haridwar','Prayag. Haridwar. Ujjain. Nasik','Rameshwaram. Purl. Badrinath. Dwarika','Chittakoot. Ujjain. Prayag.Haridwar',2
'Who is the author of the epic "Meghdoot"?','Vishakadatta','Valmiki','Banabhatta','Kalidas',4
'Which of the following is observed as Sports Day every year?','22nd April','26th  july','29th August','2nd October',3
'World Health Day is observed on?','Apr 7','Mar 6','May 15','Apr 28',1
'Pongal is a popular festival of which state?','Karnataka','Kerala','Tamil Nadu','Andhra Pradesh',3
'Ghototkach in Mahabharat was the son of?','Duryodhana','Arjuna','Yudhishthir','Bhima',4
'Which of the following is not a dance from Kerala?','Kathakali','Mohiniattam','Ottan Thullal','Yaksha Gana',4
'Rath Yatra is famous festival at?','Ayodhya','Mathura','Dwaraka','Puri',4
'Which one of the following is essentially a solo dance?','Kuchipudi','Kathak','Manipuri','Mohiniattam',4
'Onam is the main festival of?','Tamil Nadu','Karnataka','Andhra Pradesh','Kerala',4
'which city of India was first of all affected by plague?','Jaipur','Bombay','Surat','Kanpur',3
